# Results criterion, Courier. Generated; do not hand-edit.
# TUNEO: 0-1999 (tabla de valor).
# REPORTE: 2000-2049 (50 turnos, holdout).
# Config: 480 min, 14:00, moto, ancla Tec, margen 10 min.
policy,mean_earnings_mxn,median_earnings_mxn,mean_mxn_per_hr,accept_rate_pct,orders_completed,deadhead_pct_of_km,deadline_misses,safety_violations
AcceptAll,660.37,649.84,82.55,3.72,14.20,52.98,1,0
HighestPay,758.59,741.74,94.82,1.95,7.46,50.02,0,0
NearestFirst,397.53,434.67,49.69,2.14,8.18,43.66,0,0
GreedyRate,808.00,855.22,101.00,2.91,11.16,46.82,0,0
OurAgent,1082.08,1069.90,135.26,5.36,20.52,27.91,0,0
Oracle,1099.27,1087.78,137.41,5.30,20.32,29.30,0,0
